sem | branch_code | subject_code | credit | duplicate_reg_nos
II | 101 | 100203 | 4.00 | 22101106004,23101103002
II | 101 | 100203P | 1.50 | 22101106004,23101103002
II | 101 | 100204 | 3.00 | 22101106004,23101103002
II | 101 | 100204P | 2.00 | 22101106004,23101103002
II | 101 | 100205 | 1.00 | 22101106004,23101103002
II | 101 | 100205P | 2.00 | 22101106004,23101103002
II | 101 | 100206 | 2.00 | 22101106004,23101103002
II | 101 | 100206P | 1.00 | 22101106004,23101103002
II | 101 | 101202 | 4.00 | 22101106004,23101103002
II | 102 | 100203 | 4.00 | 22102102001,23102102004
II | 102 | 100203P | 1.50 | 22102102001,23102102004
II | 102 | 100204 | 3.00 | 22102102001,23102102004
II | 102 | 100204P | 2.00 | 22102102001,23102102004
II | 102 | 100205 | 1.00 | 22102102001,23102102004
II | 102 | 100205P | 2.00 | 22102102001,23102102004
II | 102 | 100206 | 2.00 | 22102102001,23102102004
II | 102 | 100206P | 1.00 | 22102102001,23102102004
II | 102 | 102202 | 4.00 | 22102102001,23102102004
II | 103 | 100201 | 4.00 | 22103106006,23103106005
II | 103 | 100201P | 1.00 | 22103106006,23103106005
II | 103 | 100202 | 1.00 | 22103106006,23103106005
II | 103 | 100202P | 2.00 | 22103106006,23103106005
II | 103 | 103201 | 4.00 | 22103106006,23103106005
II | 103 | 103201P | 1.50 | 22103106006,23103106005
II | 103 | 103202 | 4.00 | 22103106006,23103106005
II | 104 | 100201 | 4.00 | 22104102001,23104102001
II | 104 | 100201P | 1.00 | 22104102001,23104102001
II | 104 | 100202 | 1.00 | 22104102001,23104102001
II | 104 | 100202P | 2.00 | 22104102001,23104102001
II | 104 | 103201 | 4.00 | 22104102001,23104102001
II | 104 | 103201P | 1.50 | 22104102001,23104102001
II | 104 | 103202 | 4.00 | 22104102001,23104102001
II | 105 | 100201 | 4.00 | 22105102005,23105102003
II | 105 | 100201P | 1.00 | 22105102005,23105102003
II | 105 | 100202 | 1.00 | 22105102005,23105102003
II | 105 | 100202P | 2.00 | 22105102005,23105102003
II | 105 | 105201 | 4.00 | 22105102005,23105102003
II | 105 | 105201P | 1.50 | 22105102005,23105102003
II | 105 | 105202 | 4.00 | 22105102005,23105102003
II | 106 | 100203 | 4.00 | 22106107016,23106107018
II | 106 | 100203P | 1.50 | 22106107016,23106107018
II | 106 | 100204 | 3.00 | 22106107016,23106107018
II | 106 | 100204P | 2.00 | 22106107016,23106107018
II | 106 | 100205 | 1.00 | 22106107016,23106107018
II | 106 | 100205P | 2.00 | 22106107016,23106107018
II | 106 | 100206 | 2.00 | 22106107016,23106107018
II | 106 | 100206P | 1.00 | 22106107016,23106107018
II | 106 | 105202 | 4.00 | 22106107016,23106107018
II | 110 | 100201 | 4.00 | 22110103006,23110102002
II | 110 | 100201P | 1.00 | 22110103006,23110102002
II | 110 | 100202 | 1.00 | 22110103006,23110102002
II | 110 | 100202P | 2.00 | 22110103006,23110102002
II | 110 | 103201 | 4.00 | 22110103006,23110102002
II | 110 | 103201P | 1.50 | 22110103006,23110102002
II | 110 | 103202 | 4.00 | 22110103006,23110102002
II | 112 | 100203 | 4.00 | 22112111002,23112111001
II | 112 | 100203P | 1.50 | 22112111002,23112111001
II | 112 | 100204 | 3.00 | 22112111002,23112111001
II | 112 | 100204P | 2.00 | 22112111002,23112111001
II | 112 | 100205 | 1.00 | 22112111002,23112111001
II | 112 | 100205P | 2.00 | 22112111002,23112111001
II | 112 | 100206 | 2.00 | 22112111002,23112111001
II | 112 | 100206P | 1.00 | 22112111002,23112111001
II | 112 | 102202 | 4.00 | 22112111002,23112111001
II | 113 | 100203 | 4.00 | 22113124012,23113124006
II | 113 | 100203P | 1.50 | 22113124012,23113124006
II | 113 | 100204 | 3.00 | 22113124012,23113124006
II | 113 | 100204P | 2.00 | 22113124012,23113124006
II | 113 | 100205 | 1.00 | 22113124012,23113124006
II | 113 | 100205P | 2.00 | 22113124012,23113124006
II | 113 | 100206 | 2.00 | 22113124012,23113124006
II | 113 | 100206P | 1.00 | 22113124012,23113124006
II | 113 | 102202 | 4.00 | 22113124012,23113124006
II | 114 | 100201 | 4.00 | 22114125006,23114125004
II | 114 | 100201P | 1.00 | 22114125006,23114125004
II | 114 | 100202 | 1.00 | 22114125006,23114125004
II | 114 | 100202P | 2.00 | 22114125006,23114125004
II | 114 | 103201 | 4.00 | 22114125006,23114125004
II | 114 | 103201P | 1.50 | 22114125006,23114125004
II | 114 | 103202 | 4.00 | 22114125006,23114125004
II | 115 | 100203 | 4.00 | 22115117003,23115117003
II | 115 | 100203P | 1.50 | 22115117003,23115117003
II | 115 | 100204 | 3.00 | 22115117003,23115117003
II | 115 | 100204P | 2.00 | 22115117003,23115117003
II | 115 | 100205 | 1.00 | 22115117003,23115117003
II | 115 | 100205P | 2.00 | 22115117003,23115117003
II | 115 | 100206 | 2.00 | 22115117003,23115117003
II | 115 | 100206P | 1.00 | 22115117003,23115117003
II | 115 | 101202 | 4.00 | 22115117003,23115117003
II | 116 | 100203 | 4.00 | 22116109002,23116109001
II | 116 | 100203P | 1.50 | 22116109002,23116109001
II | 116 | 100204 | 3.00 | 22116109002,23116109001
II | 116 | 100204P | 2.00 | 22116109002,23116109001
II | 116 | 100205 | 1.00 | 22116109002,23116109001
II | 116 | 100205P | 2.00 | 22116109002,23116109001
II | 116 | 100206 | 2.00 | 22116109002,23116109001
II | 116 | 100206P | 1.00 | 22116109002,23116109001
II | 116 | 102202 | 4.00 | 22116109002,23116109001
II | 117 | 100201 | 4.00 | 22117107003,23117107004
II | 117 | 100201P | 1.00 | 22117107003,23117107004
II | 117 | 100202 | 1.00 | 22117107003,23117107004
II | 117 | 100202P | 2.00 | 22117107003,23117107004
