sem | branch_code | branch_name | subject_code | credit | total_sem_credit | status | sample_reg_nos
IV | 102 | Mechanical Engineering | 100408P | 2.00 | 23 | DUPLICATE_SUPPORT | 21102102004,22102102001
IV | 102 | Mechanical Engineering | 102401 | 4.00 | 23 | DUPLICATE_SUPPORT | 21102102004,22102102001
IV | 102 | Mechanical Engineering | 102402 | 4.00 | 23 | DUPLICATE_SUPPORT | 21102102004,22102102001
IV | 102 | Mechanical Engineering | 102403 | 3.00 | 23 | DUPLICATE_SUPPORT | 21102102004,22102102001
IV | 102 | Mechanical Engineering | 102403P | 1.50 | 23 | DUPLICATE_SUPPORT | 21102102004,22102102001
IV | 102 | Mechanical Engineering | 102404 | 4.00 | 23 | DUPLICATE_SUPPORT | 21102102004,22102102001
IV | 102 | Mechanical Engineering | 102405 | 3.00 | 23 | DUPLICATE_SUPPORT | 21102102004,22102102001
IV | 102 | Mechanical Engineering | 102405P | 1.50 | 23 | DUPLICATE_SUPPORT | 21102102004,22102102001
IV | 103 | Electrical Engineering | 100401 | 3.00 | 22 | MATCH | 22103106006
IV | 103 | Electrical Engineering | 100403 | 3.00 | 22 | MATCH | 22103106006
IV | 103 | Electrical Engineering | 100403P | 1.00 | 22 | MATCH | 22103106006
IV | 103 | Electrical Engineering | 103401 | 3.00 | 22 | MATCH | 22103106006
IV | 103 | Electrical Engineering | 103401P | 1.00 | 22 | MATCH | 22103106006
IV | 103 | Electrical Engineering | 103402 | 3.00 | 22 | MATCH | 22103106006
IV | 103 | Electrical Engineering | 103402P | 1.00 | 22 | MATCH | 22103106006
IV | 103 | Electrical Engineering | 103403 | 4.00 | 22 | MATCH | 22103106006
IV | 103 | Electrical Engineering | 103404 | 3.00 | 22 | MATCH | 22103106006
IV | 104 | Electronics & Communication Engineering | 100408P | 2.00 | 23 | MATCH | 21104102001
IV | 104 | Electronics & Communication Engineering | 104401 | 3.00 | 23 | MATCH | 21104102001
IV | 104 | Electronics & Communication Engineering | 104401P | 1.00 | 23 | MATCH | 21104102001
IV | 104 | Electronics & Communication Engineering | 104402 | 3.00 | 23 | MATCH | 21104102001
IV | 104 | Electronics & Communication Engineering | 104402P | 1.00 | 23 | MATCH | 21104102001
IV | 104 | Electronics & Communication Engineering | 104403 | 4.00 | 23 | MATCH | 21104102001
IV | 104 | Electronics & Communication Engineering | 104403P | 1.00 | 23 | MATCH | 21104102001
IV | 104 | Electronics & Communication Engineering | 104404 | 4.00 | 23 | MATCH | 21104102001
IV | 104 | Electronics & Communication Engineering | 104405 | 3.00 | 23 | MATCH | 21104102001
IV | 104 | Electronics & Communication Engineering | 104405P | 1.00 | 23 | MATCH | 21104102001
IV | 105 | Computer Science & Engineering | 100403 | 3.00 | 27 | MATCH | 22105102005
IV | 105 | Computer Science & Engineering | 100403P | 2.00 | 27 | MATCH | 22105102005
IV | 105 | Computer Science & Engineering | 100404 | 4.00 | 27 | MATCH | 22105102005
IV | 105 | Computer Science & Engineering | 100407 | 3.00 | 27 | MATCH | 22105102005
IV | 105 | Computer Science & Engineering | 105401 | 3.00 | 27 | MATCH | 22105102005
IV | 105 | Computer Science & Engineering | 105401P | 2.00 | 27 | MATCH | 22105102005
IV | 105 | Computer Science & Engineering | 105402 | 3.00 | 27 | MATCH | 22105102005
IV | 105 | Computer Science & Engineering | 105402P | 2.00 | 27 | MATCH | 22105102005
IV | 105 | Computer Science & Engineering | 105403 | 3.00 | 27 | MATCH | 22105102005
IV | 105 | Computer Science & Engineering | 105403P | 2.00 | 27 | MATCH | 22105102005
IV | 106 | Information Technology | 100406 | 4.00 | 22 | DUPLICATE_SUPPORT | 21106107018,22106107016
IV | 106 | Information Technology | 100407 | 3.00 | 22 | DUPLICATE_SUPPORT | 21106107018,22106107016
IV | 106 | Information Technology | 106401 | 3.00 | 22 | DUPLICATE_SUPPORT | 21106107018,22106107016
IV | 106 | Information Technology | 106401P | 2.00 | 22 | DUPLICATE_SUPPORT | 21106107018,22106107016
IV | 106 | Information Technology | 106402 | 3.00 | 22 | DUPLICATE_SUPPORT | 21106107018,22106107016
IV | 106 | Information Technology | 106402P | 2.00 | 22 | DUPLICATE_SUPPORT | 21106107018,22106107016
IV | 106 | Information Technology | 106403 | 3.00 | 22 | DUPLICATE_SUPPORT | 21106107018,22106107016
IV | 106 | Information Technology | 106403P | 2.00 | 22 | DUPLICATE_SUPPORT | 21106107018,22106107016
IV | 107 | Leather Technology Engineering | 100408P | 2.00 | 20 | MATCH | 21107107005
IV | 107 | Leather Technology Engineering | 107401 | 3.00 | 20 | MATCH | 21107107005
IV | 107 | Leather Technology Engineering | 107401P | 1.50 | 20 | MATCH | 21107107005
IV | 107 | Leather Technology Engineering | 107402 | 3.00 | 20 | MATCH | 21107107005
IV | 107 | Leather Technology Engineering | 107403 | 3.00 | 20 | MATCH | 21107107005
IV | 107 | Leather Technology Engineering | 107404 | 3.00 | 20 | MATCH | 21107107005
IV | 107 | Leather Technology Engineering | 107405 | 3.00 | 20 | MATCH | 21107107005
IV | 107 | Leather Technology Engineering | 107405P | 1.50 | 20 | MATCH | 21107107005
IV | 110 | Electrical & Electronics Engineering | 100401 | 3.00 | 24 | MATCH | 22110103006
IV | 110 | Electrical & Electronics Engineering | 110401 | 3.00 | 24 | MATCH | 22110103006
IV | 110 | Electrical & Electronics Engineering | 110401P | 1.00 | 24 | MATCH | 22110103006
IV | 110 | Electrical & Electronics Engineering | 110402 | 3.00 | 24 | MATCH | 22110103006
IV | 110 | Electrical & Electronics Engineering | 110402P | 1.00 | 24 | MATCH | 22110103006
